Data,Hora,kW,kWh
230606,00:00:00,0,0.0
230606,00:15:00,0,0.0
230606,00:30:00,0,0.0
230606,00:45:00,0,0.0
230606,01:00:00,0,0.0
230606,01:15:00,0,0.0
230606,01:30:00,0,0.0
230606,01:45:00,0,0.0
230606,02:00:00,0,0.0
230606,02:15:00,0,0.0
230606,02:30:00,0,0.0
230606,02:45:00,0,0.0
230606,03:00:00,0,0.0
230606,03:15:00,0,0.0
230606,03:30:00,0,0.0
230606,03:45:00,0,0.0
230606,04:00:00,0,0.0
230606,04:15:00,0,0.0
230606,04:30:00,0,0.0
230606,04:45:00,0,0.0
230606,05:00:00,0,0.0
230606,05:15:00,0,0.0
230606,05:30:00,0,0.0
230606,05:45:00,0,0.0
230606,06:00:00,0,0.0
230606,06:15:00,0,0.0
230606,06:30:00,0,0.0
230606,06:45:00,3,0.75
230606,07:00:00,12,3.0
230606,07:15:00,21,5.25
230606,07:30:00,18,4.5
230606,07:45:00,32,8.0
230606,08:00:00,38,9.5
230606,08:15:00,55,13.75
230606,08:30:00,83,20.75
230606,08:45:00,116,29.0
230606,09:00:00,141,35.25
230606,09:15:00,201,50.25
230606,09:30:00,264,66.0
230606,09:45:00,327,81.75
230606,10:00:00,388,97.0
230606,10:15:00,449,112.25
230606,10:30:00,511,127.75
230606,10:45:00,571,142.75
230606,11:00:00,631,157.75
230606,11:15:00,679,169.75
230606,11:30:00,713,178.25
230606,11:45:00,774,193.5
230606,12:00:00,817,204.25
230606,12:15:00,871,217.75
230606,12:30:00,862,215.5
230606,12:45:00,891,222.75
230606,13:00:00,957,239.25
230606,13:15:00,743,185.75
230606,13:30:00,828,207.0
230606,13:45:00,896,224.0
230606,14:00:00,777,194.25
230606,14:15:00,676,169.0
230606,14:30:00,842,210.5
230606,14:45:00,883,220.75
230606,15:00:00,836,209.0
230606,15:15:00,696,174.0
230606,15:30:00,602,150.5
230606,15:45:00,495,123.75
230606,16:00:00,532,133.0
230606,16:15:00,596,149.0
230606,16:30:00,400,100.0
230606,16:45:00,335,83.75
230606,17:00:00,310,77.5
230606,17:15:00,481,120.25
230606,17:30:00,286,71.5
230606,17:45:00,157,39.25
230606,18:00:00,131,32.75
230606,18:15:00,195,48.75
230606,18:30:00,120,30.0
230606,18:45:00,93,23.25
230606,19:00:00,66,16.5
230606,19:15:00,54,13.5
230606,19:30:00,40,10.0
230606,19:45:00,26,6.5
230606,20:00:00,12,3.0
230606,20:15:00,2,0.5
230606,20:30:00,0,0.0
230606,20:45:00,0,0.0
230606,21:00:00,0,0.0
230606,21:15:00,0,0.0
230606,21:30:00,0,0.0
230606,21:45:00,0,0.0
230606,22:00:00,0,0.0
230606,22:15:00,0,0.0
230606,22:30:00,0,0.0
230606,22:45:00,0,0.0
230606,23:00:00,0,0.0
230606,23:15:00,0,0.0
230606,23:30:00,0,0.0
230606,23:45:00,0,0.0
230607,00:00:00,0,0.0
230607,00:15:00,0,0.0
230607,00:30:00,0,0.0
230607,00:45:00,0,0.0
230607,01:00:00,0,0.0
230607,01:15:00,0,0.0
230607,01:30:00,0,0.0
230607,01:45:00,0,0.0
230607,02:00:00,0,0.0
230607,02:15:00,0,0.0
230607,02:30:00,0,0.0
230607,02:45:00,0,0.0
230607,03:00:00,0,0.0
230607,03:15:00,0,0.0
230607,03:30:00,0,0.0
230607,03:45:00,0,0.0
230607,04:00:00,0,0.0
230607,04:15:00,0,0.0
230607,04:30:00,0,0.0
230607,04:45:00,0,0.0
230607,05:00:00,0,0.0
230607,05:15:00,0,0.0
230607,05:30:00,0,0.0
230607,05:45:00,0,0.0
230607,06:00:00,0,0.0
230607,06:15:00,0,0.0
230607,06:30:00,0,0.0
230607,06:45:00,0,0.0
